Datapoint,Date/Time,inctemp,
10046,9/22/2017 0:00,32.949,
10047,9/22/2017 0:00,32.975,
10048,9/22/2017 0:01,33.027,
10049,9/22/2017 0:01,32.975,
10050,9/22/2017 0:02,32.898,
10051,9/22/2017 0:02,32.846,
10052,9/22/2017 0:03,32.794,
10053,9/22/2017 0:03,32.742,
10054,9/22/2017 0:04,32.768,
10055,9/22/2017 0:04,32.794,
10056,9/22/2017 0:05,32.846,
10057,9/22/2017 0:05,32.872,
10058,9/22/2017 0:06,32.898,
10059,9/22/2017 0:06,32.924,
10060,9/22/2017 0:07,32.949,
10061,9/22/2017 0:07,33.001,
10062,9/22/2017 0:08,33.001,
10063,9/22/2017 0:08,33.027,
10064,9/22/2017 0:09,32.975,
10065,9/22/2017 0:09,32.975,
10066,9/22/2017 0:10,32.975,
10067,9/22/2017 0:10,33.001,
10068,9/22/2017 0:11,33.001,
10069,9/22/2017 0:11,33.027,
10070,9/22/2017 0:12,33.027,
10071,9/22/2017 0:12,33.053,
10072,9/22/2017 0:13,33.079,
10073,9/22/2017 0:13,33.105,
10074,9/22/2017 0:14,33.131,
10075,9/22/2017 0:14,33.157,
10076,9/22/2017 0:15,33.183,
10077,9/22/2017 0:15,33.209,
10078,9/22/2017 0:16,33.235,
10079,9/22/2017 0:16,33.261,
10080,9/22/2017 0:17,33.261,
10081,9/22/2017 0:17,33.287,
10082,9/22/2017 0:18,33.287,
10083,9/22/2017 0:18,33.287,
10084,9/22/2017 0:19,33.287,
10085,9/22/2017 0:19,33.313,
10086,9/22/2017 0:20,33.313,
10087,9/22/2017 0:20,33.313,
10088,9/22/2017 0:21,33.313,
10089,9/22/2017 0:21,33.313,
10090,9/22/2017 0:22,33.313,
10091,9/22/2017 0:22,33.339,
10092,9/22/2017 0:23,33.339,
10093,9/22/2017 0:23,33.365,
10094,9/22/2017 0:24,33.365,
10095,9/22/2017 0:24,33.391,
10096,9/22/2017 0:25,33.417,
10097,9/22/2017 0:25,33.443,
10098,9/22/2017 0:26,33.469,
10099,9/22/2017 0:26,33.469,
10100,9/22/2017 0:27,33.495,
10101,9/22/2017 0:27,33.521,
10102,9/22/2017 0:28,33.548,
10103,9/22/2017 0:28,33.574,
10104,9/22/2017 0:29,33.6,
10105,9/22/2017 0:29,33.626,
10106,9/22/2017 0:30,33.626,
10107,9/22/2017 0:30,33.652,
10108,9/22/2017 0:31,33.678,
10109,9/22/2017 0:31,33.704,
10110,9/22/2017 0:32,33.704,
10111,9/22/2017 0:32,33.73,
10112,9/22/2017 0:33,33.73,
10113,9/22/2017 0:33,33.757,
10114,9/22/2017 0:34,33.783,
10115,9/22/2017 0:34,33.783,
10116,9/22/2017 0:35,33.809,
10117,9/22/2017 0:35,33.809,
10118,9/22/2017 0:36,33.835,
10119,9/22/2017 0:36,33.835,
10120,9/22/2017 0:37,33.835,
10121,9/22/2017 0:37,33.835,
10122,9/22/2017 0:38,33.861,
10123,9/22/2017 0:38,33.861,
10124,9/22/2017 0:39,33.861,
10125,9/22/2017 0:39,33.835,
10126,9/22/2017 0:40,33.835,
10127,9/22/2017 0:40,33.809,
10128,9/22/2017 0:41,33.757,
10129,9/22/2017 0:41,33.73,
10130,9/22/2017 0:42,33.704,
10131,9/22/2017 0:42,33.704,
10132,9/22/2017 0:43,33.704,
10133,9/22/2017 0:43,33.704,
10134,9/22/2017 0:44,33.73,
10135,9/22/2017 0:44,33.73,
10136,9/22/2017 0:45,33.73,
10137,9/22/2017 0:45,33.757,
10138,9/22/2017 0:46,33.757,
10139,9/22/2017 0:46,33.783,
10140,9/22/2017 0:47,33.783,
10141,9/22/2017 0:47,33.809,
10142,9/22/2017 0:48,33.835,
10143,9/22/2017 0:48,33.835,
10144,9/22/2017 0:49,33.861,
10145,9/22/2017 0:49,33.861,
10146,9/22/2017 0:50,33.887,
10147,9/22/2017 0:50,33.887,
10148,9/22/2017 0:51,33.914,
10149,9/22/2017 0:51,33.914,
10150,9/22/2017 0:52,33.914,
10151,9/22/2017 0:52,33.914,
10152,9/22/2017 0:53,33.914,
10153,9/22/2017 0:53,33.914,
10154,9/22/2017 0:54,33.914,
10155,9/22/2017 0:54,33.887,
10156,9/22/2017 0:55,33.887,
10157,9/22/2017 0:55,33.887,
10158,9/22/2017 0:56,33.887,
10159,9/22/2017 0:56,33.887,
10160,9/22/2017 0:57,33.887,
10161,9/22/2017 0:57,33.887,
10162,9/22/2017 0:58,33.861,
10163,9/22/2017 0:58,33.835,
10164,9/22/2017 0:59,33.835,
10165,9/22/2017 0:59,33.835,
10166,9/22/2017 1:00,33.861,
10167,9/22/2017 1:00,33.861,
10168,9/22/2017 1:01,33.887,
10169,9/22/2017 1:01,33.887,
10170,9/22/2017 1:02,33.887,
10171,9/22/2017 1:02,33.914,
10172,9/22/2017 1:03,33.94,
10173,9/22/2017 1:03,33.94,
10174,9/22/2017 1:04,33.966,
10175,9/22/2017 1:04,33.966,
10176,9/22/2017 1:05,33.992,
10177,9/22/2017 1:05,33.992,
10178,9/22/2017 1:06,34.019,
10179,9/22/2017 1:06,34.019,
10180,9/22/2017 1:07,34.045,
10181,9/22/2017 1:07,34.045,
10182,9/22/2017 1:08,34.045,
10183,9/22/2017 1:08,34.071,
10184,9/22/2017 1:09,34.071,
10185,9/22/2017 1:09,34.071,
10186,9/22/2017 1:10,34.097,
10187,9/22/2017 1:10,34.097,
10188,9/22/2017 1:11,34.097,
10189,9/22/2017 1:11,34.097,
10190,9/22/2017 1:12,34.097,
10191,9/22/2017 1:12,34.124,
10192,9/22/2017 1:13,34.097,
10193,9/22/2017 1:13,34.097,
10194,9/22/2017 1:14,34.097,
10195,9/22/2017 1:14,34.071,
10196,9/22/2017 1:15,34.045,
10197,9/22/2017 1:15,33.992,
10198,9/22/2017 1:16,33.992,
10199,9/22/2017 1:16,33.94,
10200,9/22/2017 1:17,33.94,
10201,9/22/2017 1:17,33.94,
10202,9/22/2017 1:18,33.887,
10203,9/22/2017 1:18,33.887,
10204,9/22/2017 1:19,33.887,
10205,9/22/2017 1:19,33.914,
10206,9/22/2017 1:20,33.914,
10207,9/22/2017 1:20,33.914,
10208,9/22/2017 1:21,33.914,
10209,9/22/2017 1:21,33.887,
10210,9/22/2017 1:22,33.887,
10211,9/22/2017 1:22,33.887,
10212,9/22/2017 1:23,33.887,
10213,9/22/2017 1:23,33.887,
