example_input.csv
Day Number,Date,Off-bout Count (DN),Mean Off Duration (DN),Off Dur StDev (DN),Mean Off Temp Drop (DN),Off Drop StDev (DN),Mean Off-Bout Temp (DN),Off-Bout Time Sum (DN),On-bout Count (DN),Mean On Duration (DN),On Dur StDev (DN),Mean On Temp Rise (DN),On Rise StDev (DN),Mean On-Bout Temp (DN),On-Bout Time Sum (DN),Time above 30 (minutes),Time below 26 (minutes),Vertices Dropped (DN),Mean Daytime Egg Temp,Day Egg Temp StDev,Median Daytime Egg Temp,Min Daytime Egg Temp,Max Daytime Egg Temp,Mean Nighttime Egg Temp,Night Egg Temp StDev,Median Nighttime Egg Temp,Min Nighttime Egg Temp,Max Nighttime Egg Temp,Mean Egg Temp (DN),Egg Temp StDev (DN),Median Egg Temp (DN),Min Egg Temp (DN),Max Egg Temp (DN),Mean Air Temp (DN),Air Temp StDev (DN),Min Air Temp (DN),Max Air Temp (DN),
1 (Partial),04/21/2018,25,17.56,13.2,-0.976,0.877,32.235,439.0,26,14.5,11.96,1.368,2.509,32.01,377.0,794.5,18.5,4,32.511,2.275,32.949,18.247,34.783,31.054,0.947,30.672,29.916,32.639,32.101,2.098,32.484,18.247,34.783,25.811,4.266,17.106,30.091,
2 (Full),04/22/2018,45,17.58,14.46,-1.062,1.084,30.84,791.0,44,13.98,9.12,1.09,1.177,31.012,615.0,897.0,0.0,9,31.596,1.602,31.97,27.554,34.255,30.127,1.029,29.765,28.369,32.975,30.923,1.553,30.849,27.554,34.255,19.748,5.036,13.497,27.751,
3 (Full),04/23/2018,49,14.44,12.07,-1.293,1.482,30.767,707.5,50,13.77,7.47,1.237,1.382,31.051,688.5,1255.0,0.0,6,31.123,1.518,31.331,26.231,33.443,30.66,0.358,30.697,29.54,31.484,30.911,1.166,30.798,26.231,33.443,17.342,3.081,12.05,22.106,
4 (Full),04/24/2018,57,12.01,7.58,-1.09,1.362,29.877,684.5,56,12.33,8.12,1.094,1.378,30.153,690.5,711.5,23.5,3,30.416,1.884,30.748,24.388,33.053,29.54,0.986,29.389,27.825,31.765,30.015,1.599,29.966,24.388,33.053,14.127,5.378,6.433,21.294,
5 (Full),04/25/2018,64,10.32,6.89,-0.976,1.447,30.092,660.5,65,11.01,7.9,0.948,1.33,30.358,715.5,834.5,4.5,9,30.555,1.411,30.925,25.428,32.484,29.848,0.642,29.752,28.493,31.103,30.231,1.179,30.243,25.428,32.484,13.094,2.918,8.27,17.011,
6 (Full),04/26/2018,57,11.09,7.31,-1.353,1.507,29.802,632.0,56,13.52,8.78,1.345,1.579,30.084,757.0,695.0,27.0,11,30.242,1.833,30.571,24.171,33.001,29.617,0.86,29.414,26.72,31.612,29.955,1.502,29.916,24.171,33.001,11.557,5.136,4.063,18.461,
7 (Full),04/27/2018,62,10.02,7.52,-1.28,1.603,30.421,621.5,62,12.1,7.88,1.275,1.499,30.587,750.5,780.0,7.5,13,30.865,1.777,31.052,25.016,33.495,30.093,1.172,29.515,28.122,31.996,30.511,1.577,30.495,25.016,33.495,11.675,4.831,4.973,17.938,
8 (Full),04/28/2018,67,9.18,5.08,-1.22,1.518,30.854,615.0,68,11.19,7.5,1.171,1.465,30.923,761.0,1239.5,0.0,10,30.917,1.249,31.255,26.134,32.768,30.863,0.478,30.862,29.59,31.842,30.892,0.975,31.026,26.134,32.768,11.407,2.475,7.569,15.175,
9 (Full),04/29/2018,67,9.43,6.37,-1.152,1.466,30.339,631.5,67,11.07,7.81,1.165,1.356,30.27,742.0,1068.0,3.0,16,29.993,1.287,30.343,25.817,32.458,30.668,0.52,30.596,29.665,32.304,30.302,1.065,30.495,25.817,32.458,11.661,1.444,9.805,14.768,
10 (Full),04/30/2018,79,8.72,5.64,-1.524,1.714,30.761,689.0,78,8.62,5.56,1.517,1.598,30.699,672.0,1098.5,9.5,19,30.078,1.646,30.243,24.484,33.6,31.502,0.771,31.357,29.84,33.626,30.731,1.498,30.976,24.484,33.626,10.037,1.944,7.268,13.473,
--,ALL DATA,572,11.31,8.82,-1.217,1.471,30.549,6471.5,572,11.83,8.09,1.221,1.497,30.641,6769.0,9373.5,93.5,100,30.793,1.799,31.001,18.247,34.783,30.352,1.014,30.469,26.72,33.626,30.596,1.515,30.697,18.247,34.783,14.172,5.698,4.063,30.091,


Individual Bout Stats
Date,Bout Type,Start Time,End Time,Start Data Point,End Data Point,Duration (min),Egg Temp Change,Start Egg Temp,End Egg Temp,Mean Egg Temp, Egg Temp StDev,Start Air Temp, End Air Temp, Mean Air Temp, Air Temp StDev
,on,05:57,06:08,25461,25483,11.0,0.8269999999999982,32.278,33.105,32.606,0.249,7.519,7.419,7.48,0.026
,off,06:08,06:18,25484,25503,9.5,-0.49199999999999733,33.079,32.587,32.911,0.148,7.419,7.419,7.412,0.012
,on,06:18,06:22,25504,25512,4.0,0.465999999999994,32.639,33.105,32.889,0.156,7.419,7.368,7.382,0.018
,off,06:23,06:25,25513,25517,2.0,-0.07800000000000296,33.079,33.001,33.011,0.054,7.368,7.368,7.368,0.0
,on,06:25,06:28,25518,25523,2.5,0.28600000000000136,33.027,33.313,33.153,0.12,7.368,7.368,7.368,0.0
,off,06:28,06:37,25524,25541,8.5,-0.28600000000000136,33.339,33.053,33.17,0.064,7.368,7.318,7.336,0.021
,on,06:37,06:42,25542,25551,4.5,0.5730000000000004,33.053,33.626,33.355,0.199,7.318,7.268,7.286,0.017
,off,06:42,06:51,25552,25569,8.5,-0.6769999999999996,33.626,32.949,33.216,0.185,7.268,7.293,7.29,0.008
,on,06:51,07:00,25570,25587,8.5,0.5990000000000038,32.949,33.548,33.31,0.197,7.293,7.293,7.28,0.013
,off,07:00,07:16,25588,25619,15.5,-5.032,33.6,28.568,31.441,1.637,7.318,7.569,7.468,0.092
,on,07:16,07:18,25620,25624,2.0,0.39899999999999736,28.841,29.24,29.27,0.281,7.569,7.619,7.584,0.034
,off,07:19,07:21,25625,25629,2.0,-0.4740000000000002,29.29,28.816,29.15,0.247,7.569,7.67,7.645,0.051
,on,07:21,07:24,25630,25635,2.5,1.3030000000000008,28.99,30.293,29.733,0.53,7.645,7.619,7.602,0.031
,off,07:24,07:26,25636,25640,2.0,-1.0020000000000024,30.117,29.115,29.595,0.393,7.67,7.82,7.78,0.08
,on,07:27,07:30,25641,25648,3.5,0.9009999999999998,29.165,30.066,29.822,0.42,7.77,7.72,7.714,0.032
,off,07:31,07:38,25649,25663,7.0,-1.8470000000000013,30.192,28.345,29.407,0.753,7.67,7.795,7.8,0.061
,on,07:38,07:52,25664,25692,14.0,2.7860000000000014,28.444,31.23,30.118,0.879,7.845,7.895,7.923,0.084
,off,07:53,08:02,25693,25711,9.0,-3.355999999999998,31.255,27.899,30.049,1.09,7.92,7.97,8.003,0.035
,on,08:02,08:14,25712,25736,12.0,4.548000000000002,27.653,32.201,30.186,1.317,7.945,7.995,8.01,0.087
,off,08:15,08:18,25737,25743,3.0,-0.10300000000000153,32.304,32.201,32.249,0.065,7.97,8.12,8.127,0.085
,on,08:18,08:20,25744,25748,2.0,0.4889999999999972,32.124,32.613,32.355,0.2,8.195,8.12,8.14,0.041
,off,08:21,08:23,25749,25753,2.0,-0.384999999999998,32.458,32.073,32.201,0.166,8.22,8.22,8.235,0.022
,on,08:23,08:29,25754,25766,6.0,1.4230000000000018,32.098,33.521,32.785,0.474,8.195,8.095,8.122,0.039
,off,08:30,08:36,25767,25779,6.0,-2.314,33.417,31.103,32.203,0.834,8.195,8.27,8.249,0.052
,on,08:36,08:40,25780,25787,3.5,0.7149999999999999,31.204,31.919,31.532,0.24,8.22,8.245,8.208,0.019
,off,08:40,08:47,25788,25801,6.5,-2.3279999999999994,31.868,29.54,30.566,0.815,8.319,8.444,8.358,0.046
,on,08:47,08:58,25802,25823,10.5,3.070999999999998,29.439,32.51,30.905,0.953,8.419,8.419,8.375,0.033
,off,08:58,09:08,25824,25843,9.5,-4.012999999999998,32.407,28.394,30.51,1.381,8.519,8.643,8.586,0.031
,on,09:08,09:19,25844,25866,11.0,4.347999999999999,28.394,32.742,30.962,1.515,8.618,8.618,8.59,0.04
,off,09:20,09:31,25867,25889,11.0,-3.076000000000004,32.691,29.615,30.946,1.159,8.717,8.792,8.766,0.045
,on,09:31,09:39,25890,25906,8.0,2.201999999999998,29.64,31.842,30.992,0.804,8.792,9.015,8.841,0.105
,off,09:40,09:49,25907,25926,9.5,-1.8530000000000015,31.919,30.066,31.054,0.549,8.99,9.139,9.12,0.081
,on,09:50,10:01,25927,25949,11.0,2.0849999999999973,30.142,32.227,30.955,0.696,9.163,9.213,9.187,0.046
,off,10:01,10:10,25950,25968,9.0,-3.16,32.15,28.99,30.608,1.132,9.238,9.287,9.339,0.048
,on,10:11,10:24,25969,25996,13.5,3.4719999999999978,29.09,32.562,31.145,1.166,9.287,9.46,9.308,0.073
,off,10:25,10:35,25997,26017,10.0,-2.844999999999999,32.51,29.665,30.926,1.091,9.534,9.558,9.494,0.03
,on,10:35,10:49,26018,26045,13.5,2.6649999999999956,29.69,32.355,31.086,0.932,9.558,9.608,9.617,0.037
,off,10:49,10:57,26046,26062,8.0,-1.7339999999999982,32.355,30.621,31.378,0.632,9.682,9.854,9.853,0.085
,on,10:58,11:08,26063,26084,10.5,1.657,30.621,32.278,31.306,0.507,9.829,9.756,9.752,0.027
,off,11:09,11:11,26085,26089,2.0,-0.20599999999999596,32.227,32.021,32.083,0.087,9.805,9.952,9.952,0.092
,on,11:11,11:18,26090,26104,7.0,0.9799999999999969,32.021,33.001,32.514,0.363,9.952,9.854,9.879,0.035
,off,11:19,11:42,26105,26151,23.0,-8.439999999999998,32.924,24.484,29.258,2.96,9.854,10.026,9.995,0.061
,on,11:42,12:00,26152,26188,18.0,7.620000000000001,24.581,32.201,29.622,2.424,10.026,10.247,10.145,0.089
,off,12:01,12:03,26189,26193,2.0,-0.2309999999999981,32.15,31.919,32.042,0.098,10.271,10.345,10.335,0.051
,on,12:03,12:07,26194,26202,4.0,0.7210000000000001,31.944,32.665,32.293,0.268,10.32,10.271,10.285,0.018
,off,12:08,12:17,26203,26222,9.5,-3.6019999999999968,32.742,29.14,30.929,1.268,10.296,10.492,10.587,0.139
,on,12:18,12:35,26223,26257,17.0,2.9860000000000007,29.215,32.201,30.866,0.82,10.467,10.59,10.599,0.081
,off,12:35,12:51,26258,26290,16.0,-5.212999999999997,32.227,27.014,29.753,1.809,10.614,10.785,10.781,0.042
,on,12:52,13:13,26291,26333,21.0,4.905999999999999,27.038,31.944,29.705,1.544,10.785,11.37,11.087,0.142
,off,13:13,13:30,26334,26367,16.5,-3.0519999999999996,31.893,28.841,30.946,1.05,11.37,11.2,11.293,0.041
,on,13:30,13:42,26368,26391,11.5,2.210000000000001,28.816,31.026,30.035,0.64,11.224,11.127,11.171,0.036
,off,13:42,13:51,26392,26410,9.0,-1.2860000000000014,31.001,29.715,30.472,0.414,11.151,11.613,11.468,0.152
,on,13:52,13:57,26411,26421,5.0,1.134999999999998,29.765,30.9,30.358,0.406,11.589,11.637,11.52,0.056
,off,13:57,14:05,26422,26438,8.0,-1.7840000000000025,30.824,29.04,29.77,0.602,11.759,12.025,11.937,0.067
,on,14:06,14:14,26439,26456,8.5,2.5740000000000016,29.115,31.689,30.27,0.832,12.001,11.953,11.894,0.048
,off,14:15,14:30,26457,26487,15.0,-5.380999999999997,31.612,26.231,29.109,1.705,12.074,12.025,12.042,0.026
,on,14:30,14:46,26488,26520,16.0,4.77,26.256,31.026,29.298,1.611,12.025,12.243,12.074,0.078
,off,14:47,14:55,26521,26537,8.0,-1.8610000000000007,31.001,29.14,30.144,0.642,12.243,12.098,12.172,0.045
,on,14:55,15:05,26538,26557,9.5,1.911999999999999,29.14,31.052,30.238,0.614,12.098,12.074,12.119,0.057
,off,15:05,15:18,26558,26584,13.0,-4.207999999999998,31.026,26.818,29.152,1.354,12.171,12.147,12.183,0.033
,on,15:19,15:29,26585,26606,10.5,2.9490000000000016,26.891,29.84,28.3,1.031,12.147,12.292,12.189,0.047
,off,15:30,15:40,26607,26628,10.5,-3.2680000000000007,29.89,26.622,28.426,1.162,12.34,12.461,12.411,0.037
,on,15:41,15:57,26629,26662,16.5,4.813000000000002,26.671,31.484,28.968,1.623,12.461,12.823,12.65,0.105
,off,15:58,16:08,26663,26684,10.5,-3.8290000000000006,31.408,27.579,29.551,1.269,12.823,13.04,12.933,0.069
,on,16:09,16:19,26685,26705,10.0,2.411999999999999,27.604,30.016,29.031,0.79,13.016,13.04,12.995,0.023
,off,16:19,16:24,26706,26716,5.0,-0.9009999999999998,29.991,29.09,29.524,0.344,13.064,13.088,13.093,0.034
,on,16:25,16:28,26717,26723,3.0,0.22500000000000142,29.115,29.34,29.208,0.079,13.064,13.233,13.164,0.078
,off,16:28,16:42,26724,26751,13.5,-3.497,29.29,25.793,27.586,1.136,13.233,13.137,13.132,0.047
,on,16:42,16:58,26752,26783,15.5,3.0749999999999993,25.841,28.916,27.484,0.996,13.137,13.088,13.163,0.086
,off,16:58,17:08,26784,26803,9.5,-1.7049999999999983,28.891,27.186,28.121,0.623,13.064,12.871,12.959,0.074
,on,17:08,17:23,26804,26833,14.5,4.071999999999999,27.259,31.331,29.495,1.367,12.871,12.751,12.785,0.043
,off,17:23,17:35,26834,26857,11.5,-3.628999999999998,31.331,27.702,29.7,1.217,12.751,12.727,12.738,0.012
,on,17:35,17:56,26858,26900,21.0,3.8099999999999987,27.751,31.561,29.766,1.039,12.727,13.04,12.9,0.128
,off,17:57,18:03,26901,26914,6.5,-0.838000000000001,31.484,30.646,31.005,0.27,13.064,13.257,13.138,0.071
,on,18:04,18:08,26915,26923,4.0,0.43100000000000094,30.672,31.103,30.908,0.171,13.209,13.425,13.254,0.078
,off,18:08,18:11,26924,26930,3.0,-0.15200000000000102,31.001,30.849,30.918,0.06,13.473,13.209,13.322,0.094
,on,18:12,18:22,26931,26951,10.0,0.9170000000000016,30.874,31.791,31.387,0.335,13.161,13.281,13.196,0.107
,off,18:22,18:38,26952,26984,16.0,-4.481000000000002,31.765,27.284,29.753,1.53,13.257,13.185,13.277,0.049
,on,18:39,19:01,26985,27030,22.5,4.229999999999997,27.382,31.612,29.779,1.216,13.185,13.185,13.178,0.069
,off,19:02,19:12,27031,27051,10.0,-2.5459999999999994,31.586,29.04,30.349,0.842,13.233,13.112,13.199,0.057
,on,19:12,19:30,27052,27087,17.5,3.059000000000001,29.065,32.124,30.811,0.934,13.064,12.678,12.865,0.111
,off,19:30,19:47,27088,27121,16.5,-5.796999999999997,32.175,26.378,29.378,1.939,12.678,12.582,12.669,0.093
,on,19:47,20:12,27122,27171,24.5,5.339000000000002,26.426,31.765,29.61,1.654,12.582,12.098,12.35,0.156
,off,20:12,20:31,27172,27209,18.5,-0.3829999999999991,31.74,31.357,31.637,0.129,12.098,11.783,11.95,0.087
,on,20:31,20:42,27210,27232,11.0,0.254999999999999,31.357,31.612,31.47,0.087,11.783,11.613,11.712,0.061
,off,20:43,21:00,27233,27267,17.0,-0.5349999999999966,31.612,31.077,31.303,0.224,11.613,11.321,11.487,0.081
,on,21:00,21:03,27268,27273,2.5,0.1269999999999989,31.052,31.179,31.103,0.06,11.321,11.321,11.321,0.0
,off,21:03,21:14,27274,27296,11.0,-0.5579999999999998,31.23,30.672,30.877,0.153,11.321,11.102,11.229,0.081
,on,21:15,21:25,27297,27317,10.0,0.6089999999999982,30.646,31.255,30.989,0.172,11.102,10.956,11.036,0.051
,off,21:25,21:35,27318,27337,9.5,-0.45700000000000074,31.255,30.798,31.011,0.157,10.932,10.761,10.88,0.068
,on,21:35,21:44,27338,27355,8.5,0.27900000000000347,30.798,31.077,30.94,0.083,10.736,10.541,10.632,0.065
,off,21:44,21:48,27356,27364,4.0,-0.07700000000000173,31.103,31.026,31.058,0.021,10.516,10.443,10.47,0.028
,on,21:49,21:55,27365,27378,6.5,0.3810000000000002,31.001,31.382,31.208,0.119,10.418,10.296,10.371,0.047
,off,21:56,21:58,27379,27383,2.0,-0.10200000000000031,31.357,31.255,31.301,0.052,10.271,10.247,10.257,0.013
,on,21:58,22:00,27384,27388,2.0,0.05100000000000193,31.255,31.306,31.296,0.029,10.222,10.173,10.203,0.02
,off,22:01,22:06,27389,27400,5.5,-0.17800000000000082,31.306,31.128,31.122,0.105,10.149,10.001,10.077,0.052
,on,22:07,22:13,27401,27413,6.0,0.5850000000000009,31.052,31.637,31.322,0.213,10.001,9.805,9.896,0.061
,off,22:13,22:26,27414,27439,12.5,-1.1430000000000007,31.663,30.52,30.959,0.321,9.805,9.558,9.689,0.074
,on,22:26,22:29,27440,27446,3.0,0.20200000000000173,30.52,30.722,30.639,0.079,9.558,9.485,9.506,0.033
,off,22:30,22:39,27447,27465,9.0,-0.22800000000000153,30.672,30.444,30.634,0.085,9.509,9.262,9.383,0.069
,on,22:39,22:42,27466,27471,2.5,0.15200000000000102,30.444,30.596,30.541,0.069,9.262,9.213,9.242,0.018
,off,22:42,22:47,27472,27481,4.5,-0.20200000000000173,30.596,30.394,30.485,0.08,9.213,9.064,9.141,0.046
,on,22:47,23:00,27482,27508,13.0,0.7340000000000018,30.343,31.077,30.869,0.185,9.064,8.767,8.924,0.087
,off,23:01,23:09,27509,27525,8.0,-0.6080000000000005,31.103,30.495,30.647,0.223,8.767,8.618,8.691,0.045
,on,23:09,23:14,27526,27536,5.0,0.3539999999999992,30.495,30.849,30.699,0.163,8.668,8.568,8.638,0.035
,off,23:15,23:19,27537,27546,4.5,-0.22799999999999798,30.9,30.672,30.806,0.116,8.568,8.494,8.524,0.03
,on,23:20,23:25,27547,27558,5.5,0.2029999999999994,30.697,30.9,30.794,0.068,8.469,8.344,8.413,0.044
,off,23:26,23:33,27559,27573,7.0,-0.6829999999999998,30.9,30.217,30.633,0.224,8.344,8.22,8.285,0.038
,on,23:33,23:37,27574,27581,3.5,0.7579999999999991,30.142,30.9,30.628,0.311,8.195,8.12,8.167,0.028
,off,23:37,23:49,27582,27605,11.5,-0.6069999999999993,30.925,30.318,30.752,0.185,8.12,7.97,8.041,0.052
,on,23:49,23:56,27606,27619,6.5,0.38000000000000256,30.444,30.824,30.692,0.126,7.97,7.845,7.908,0.038
,off,23:56,23:59,27620,27625,2.5,-0.02499999999999858,30.849,30.824,30.819,0.025,7.82,7.795,7.816,0.019
