CanaryCtrlB68-1.csv
Day Number,Date,Off-bout Count (DN),Mean Off Duration (DN),Off Dur StDev (DN),Mean Off Temp Drop (DN),Off Drop StDev (DN),Mean Off-Bout Temp (DN),Off-Bout Time Sum (DN),On-bout Count (DN),Mean On Duration (DN),On Dur StDev (DN),Mean On Temp Rise (DN),On Rise StDev (DN),Mean On-Bout Temp (DN),On-Bout Time Sum (DN),Time above 30 (minutes),Time below 26 (minutes),Vertices Dropped (DN),Mean Daytime Egg Temp,Day Egg Temp StDev,Median Daytime Egg Temp,Min Daytime Egg Temp,Max Daytime Egg Temp,Mean Nighttime Egg Temp,Night Egg Temp StDev,Median Nighttime Egg Temp,Min Nighttime Egg Temp,Max Nighttime Egg Temp,Mean Egg Temp (DN),Egg Temp StDev (DN),Median Egg Temp (DN),Min Egg Temp (DN),Max Egg Temp (DN),
1 (Full),09/22/2017,60,12.25,13.06,-1.239,1.352,28.253,735.0,67,9.33,7.11,1.048,1.347,28.511,625.0,30.5,113.0,13,27.843,1.873,28.394,22.561,31.459,29.003,0.473,29.04,26.965,30.167,28.375,1.528,28.891,22.561,31.459,
2 (Full),09/23/2017,79,8.42,8.36,-0.931,0.768,28.919,665.5,85,7.88,4.66,0.813,0.818,29.133,669.5,179.5,0.0,13,29.265,0.759,29.24,26.72,31.535,28.739,0.748,28.593,27.259,30.646,29.024,0.798,29.04,26.72,31.535,
3 (Full),09/24/2017,72,9.88,11.71,-0.915,0.861,28.603,711.0,81,7.91,4.82,0.764,0.761,28.746,641.0,16.0,3.5,17,28.674,0.622,28.667,26.475,30.419,28.673,0.659,28.617,25.647,30.394,28.673,0.639,28.642,25.647,30.419,
4 (Full),09/25/2017,79,8.63,9.11,-0.845,0.776,29.149,681.5,81,8.23,5.82,0.785,0.765,29.185,667.0,209.5,0.0,11,28.793,0.6,28.841,26.426,30.243,29.6,0.679,29.426,27.21,31.052,29.163,0.754,29.115,26.426,31.052,
5 (Full),09/26/2017,79,9.05,9.43,-0.918,0.926,28.646,715.0,84,7.46,4.5,0.782,0.86,28.637,626.5,204.5,4.5,10,28.362,0.747,28.345,25.404,30.824,28.977,1.125,28.617,26.598,30.95,28.644,0.988,28.444,25.404,30.95,
6 (Full),09/27/2017,77,9.52,11.24,-0.978,0.859,28.119,733.0,89,6.83,4.93,0.784,0.955,28.296,608.0,31.0,1.5,22,28.299,0.781,28.27,25.841,30.318,28.081,0.697,28.072,26.109,30.95,28.199,0.751,28.147,25.841,30.95,
7 (Full),09/28/2017,78,9.36,8.64,-0.996,0.909,28.018,730.0,87,6.74,3.8,0.814,0.83,28.115,586.5,0.0,14.0,17,27.965,0.737,28.097,25.21,29.54,28.183,0.357,28.171,27.063,29.09,28.065,0.604,28.147,25.21,29.54,
8 (Full),09/29/2017,78,9.73,10.66,-1.08,0.867,27.684,759.0,86,6.98,4.39,0.893,0.751,27.74,600.5,0.0,10.0,19,27.621,0.679,27.628,25.234,29.414,27.822,0.406,27.85,26.304,29.29,27.713,0.579,27.776,25.234,29.414,
9 (Full),09/30/2017,86,7.62,7.23,-1.289,1.121,28.138,655.5,101,6.33,3.86,1.054,1.105,28.333,639.5,84.5,17.5,20,28.062,0.903,28.097,24.798,30.444,28.407,1.111,27.998,26.867,30.293,28.22,1.018,28.048,24.798,30.444,
10 (Partial),10/01/2017,53,8.23,8.8,-1.035,1.284,26.781,436.0,54,7.17,4.8,0.95,1.13,27.0,387.0,0.0,98.5,10,26.492,1.427,26.842,20.984,28.369,27.347,0.62,27.518,25.89,28.468,26.895,1.2,27.063,20.984,28.468,
--,ALL DATA,741,9.21,9.88,-1.02,0.976,28.277,6821.5,815,7.42,4.92,0.866,0.939,28.438,6050.5,755.5,262.5,152,28.205,1.167,28.32,20.984,31.535,28.526,0.942,28.419,25.647,31.052,28.352,1.082,28.369,20.984,31.535,


Individual Bout Stats
Date,Bout Type,Start Time,End Time,Start Data Point,End Data Point,Duration (min),Egg Temp Change,Start Egg Temp,End Egg Temp,Mean Egg Temp,
,on,07:56,08:02,11196,11209,6.5,0.75,29.14,29.89,29.561,
,off,08:03,08:10,11210,11224,7.0,-0.9260000000000019,29.916,28.99,29.238,
,off,08:12,08:17,11229,11238,4.5,-1.4860000000000007,29.09,27.604,28.373,
,on,08:17,08:28,11239,11261,11.0,1.7639999999999993,27.751,29.515,28.999,
,off,08:29,08:39,11262,11283,10.5,-1.245000000000001,29.515,28.27,29.118,
,on,08:40,08:45,11284,11295,5.5,1.0700000000000003,28.369,29.439,28.991,
,off,08:46,08:48,11296,11301,2.5,-0.3240000000000016,29.439,29.115,29.269,
,on,08:49,08:51,11302,11307,2.5,0.2240000000000002,29.165,29.389,29.306,
,off,08:52,09:00,11308,11325,8.5,-1.0699999999999967,29.365,28.295,29.033,
,on,09:01,09:05,11326,11335,4.5,1.0450000000000017,28.394,29.439,28.983,
,off,09:06,09:08,11336,11340,2.0,-0.2989999999999995,29.464,29.165,29.28,
,on,09:08,09:12,11341,11348,3.5,0.45000000000000284,29.24,29.69,29.509,
,off,09:12,09:18,11349,11361,6.0,-1.7910000000000004,29.69,27.899,28.958,
,on,09:19,09:29,11362,11383,10.5,1.4649999999999999,27.974,29.439,28.956,
,off,09:30,09:34,11384,11392,4.0,-1.4659999999999975,29.464,27.998,28.815,
,on,09:34,09:38,11393,11400,3.5,1.343,28.147,29.49,28.904,
,on,09:40,09:44,11404,11412,4.0,0.4499999999999993,29.29,29.74,29.551,
,off,09:44,09:57,11413,11438,12.5,-0.9979999999999976,29.74,28.742,29.242,
,on,09:57,09:59,11439,11443,2.0,0.19899999999999807,28.742,28.941,28.856,
,off,10:00,10:06,11444,11456,6.0,-1.8539999999999992,28.941,27.087,28.017,
,on,10:07,10:12,11457,11467,5.0,1.1839999999999975,27.161,28.345,27.792,
,off,10:12,10:19,11468,11481,6.5,-1.2579999999999991,28.345,27.087,27.53,
,on,10:19,10:25,11482,11493,5.5,0.07400000000000162,27.087,27.161,27.128,
,on,10:26,10:39,11496,11521,12.5,1.1839999999999975,27.161,28.345,27.879,
,off,10:39,10:44,11522,11532,5.0,-1.4050000000000011,28.419,27.014,27.755,
,on,10:45,10:51,11533,11546,6.5,1.3569999999999993,27.087,28.444,27.891,
,off,10:52,10:56,11547,11555,4.0,-0.9879999999999995,28.444,27.456,28.015,
,off,10:58,11:42,11560,11647,43.5,-5.364000000000001,27.949,22.585,24.137,
,on,11:42,12:21,11648,11725,38.5,6.827999999999999,22.561,29.389,26.156,
,off,12:21,13:10,11726,11823,48.5,-6.8039999999999985,29.365,22.561,24.564,
,on,13:10,13:37,11824,11878,27.0,6.579000000000001,22.561,29.14,26.715,
,off,13:38,13:56,11879,11915,18.0,-3.9780000000000015,29.14,25.162,27.578,
,on,13:56,14:09,11916,11941,12.5,3.754999999999999,25.186,28.941,27.766,
,off,14:09,14:16,11942,11956,7.0,-0.09999999999999787,28.941,28.841,28.888,
,on,14:17,14:21,11957,11965,4.0,0.3490000000000002,28.816,29.165,29.024,
,off,14:21,14:31,11966,11985,9.5,-2.9339999999999975,29.165,26.231,27.712,
,on,14:31,14:43,11986,12010,12.0,2.8610000000000007,26.329,29.19,27.693,
,off,14:44,14:50,12011,12023,6.0,-1.9789999999999992,29.115,27.136,27.917,
,on,14:50,15:08,12024,12060,18.0,1.5559999999999974,27.161,28.717,27.756,
,off,15:09,15:13,12061,12069,4.0,-0.8670000000000009,28.742,27.875,28.279,
,on,15:13,15:34,12070,12111,20.5,3.533999999999999,27.899,31.433,29.573,
,off,15:34,15:54,12112,12151,19.5,-5.0809999999999995,31.459,26.378,29.578,
,on,15:54,16:11,12152,12185,16.5,3.2620000000000005,26.378,29.64,28.758,
,off,16:11,16:26,12186,12215,14.5,-1.4190000000000005,29.64,28.221,29.222,
,on,16:26,16:54,12216,12272,28.0,1.1679999999999993,28.221,29.389,28.904,
,off,16:55,17:01,12273,12285,6.0,-1.564,29.414,27.85,28.571,
,on,17:01,17:17,12286,12317,15.5,0.6189999999999998,27.899,28.518,28.255,
